선수명,level,season,IP_mlbstatsapi,IP_fangraphs,my_fip,fangraphs_fip,diff,cFIP_used
데이비드 허프,MLB,2010,79.667,79.667,5.827,5.827,-0.0,3.0778
데이비드 허프,MLB,2011,50.667,50.667,4.15,4.15,0.0,3.0254
데이비드 허프,MLB,2012,26.667,26.667,4.782,4.782,0.0,3.0945
데이비드 허프,MLB,2013,37.667,37.667,4.614,4.614,0.0,3.0479
데이비드 허프,MLB,2014,59.0,59.0,4.132,4.132,0.0,3.1323
데이비드 허프,MLB,2015,6.0,6.0,7.134,7.134,0.0,3.1336
데이비드 허프,AAA,2008,80.667,80.667,3.082,3.273,-0.191,3.132
데이비드 허프,AAA,2009,39.333,39.333,4.343,4.395,-0.052,3.0971
데이비드 허프,AAA,2010,74.333,74.333,4.006,4.183,-0.177,3.0778
데이비드 허프,AAA,2011,107.0,107.0,3.904,4.115,-0.211,3.0254
데이비드 허프,AAA,2012,134.0,134.0,5.341,5.408,-0.067,3.0945
데이비드 허프,AAA,2014,3.0,3.0,2.466,3.034,-0.568,3.1323
데이비드 허프,AAA,2015,57.333,57.333,2.959,3.425,-0.466,3.1336
헥터 노에시,MLB,2011,56.333,56.333,4.09,4.09,0.0,3.0254
헥터 노에시,MLB,2012,106.667,106.667,5.532,5.532,0.0,3.0945
헥터 노에시,MLB,2013,27.333,27.333,4.365,4.365,0.0,3.0479
헥터 노에시,MLB,2014,172.333,172.333,4.827,4.827,0.0,3.1323
헥터 노에시,MLB,2015,32.667,32.667,6.225,6.225,0.0,3.1336
헥터 노에시,AAA,2010,18.667,18.667,3.078,3.255,-0.177,3.0778
헥터 노에시,AAA,2011,24.667,24.667,2.985,3.196,-0.211,3.0254
헥터 노에시,AAA,2012,64.333,64.333,3.918,4.492,-0.573,3.0945
헥터 노에시,AAA,2013,66.333,66.333,4.601,5.123,-0.522,3.0479
헥터 노에시,AAA,2015,65.0,65.0,3.549,3.572,-0.023,3.1336
지크 스프루일,MLB,2013,11.333,11.333,6.489,6.489,0.0,3.0479
지크 스프루일,MLB,2014,22.667,22.667,2.559,2.559,0.0,3.1323
지크 스프루일,AAA,2013,92.0,92.0,4.309,4.831,-0.522,3.0479
지크 스프루일,AAA,2014,79.0,79.0,4.006,4.574,-0.568,3.1323
지크 스프루일,AAA,2015,114.333,114.333,3.921,3.944,-0.023,3.1336
파비오 카스티요,AAA,2012,18.667,18.667,5.345,5.918,-0.573,3.0945
파비오 카스티요,AAA,2013,57.0,57.0,4.101,4.622,-0.522,3.0479
파비오 카스티요,AAA,2014,23.0,23.0,3.524,3.749,-0.225,3.1323
파비오 카스티요,AAA,2015,33.0,33.0,3.225,3.608,-0.383,3.1336
에릭 서캠프,MLB,2011,26.667,26.667,4.675,4.675,0.0,3.0254
에릭 서캠프,MLB,2013,2.667,2.667,15.048,15.048,0.0,3.0479
에릭 서캠프,MLB,2014,24.333,24.333,4.817,4.817,0.0,3.1323
에릭 서캠프,MLB,2015,3.333,3.333,11.234,11.234,-0.0,3.1336
에릭 서캠프,AAA,2013,71.333,71.333,3.188,3.71,-0.522,3.0479
에릭 서캠프,AAA,2014,78.667,78.667,3.298,3.523,-0.225,3.1323
슈가 마리몬,MLB,2015,25.667,25.667,5.199,5.199,0.0,3.1336
슈가 마리몬,AAA,2014,83.333,83.333,4.2,4.768,-0.568,3.1323
슈가 마리몬,AAA,2015,81.667,81.667,3.66,3.684,-0.023,3.1336
요한 피노,MLB,2014,60.333,60.333,3.944,3.944,0.0,3.1323
요한 피노,MLB,2015,19.333,19.333,3.599,3.599,0.0,3.1336
요한 피노,AAA,2010,145.667,145.667,4.897,5.074,-0.177,3.0778
요한 피노,AAA,2011,1.667,1.667,6.625,7.383,-0.758,3.0254
요한 피노,AAA,2012,9.333,9.333,3.737,4.311,-0.573,3.0945
요한 피노,AAA,2013,121.333,121.333,2.801,2.958,-0.157,3.0479
요한 피노,AAA,2014,73.0,73.0,3.872,4.097,-0.225,3.1323
요한 피노,AAA,2015,78.667,78.667,4.163,4.629,-0.466,3.1336
브라울리오 라라,AAA,2013,3.0,3.0,2.048,2.205,-0.157,3.0479
브라울리오 라라,AAA,2014,11.0,11.0,6.769,6.994,-0.225,3.1323
